FeatureID	Covariate	Log2(FC)	SE	W	pvalue	qvalue	Signif
Microbacterium	Intercept	0.01668334563968621	0.19213881097107932	0.086829649644274	0.93080691961327	1.0	False
Microbacterium	condition[T.pre-drought]	-0.01096041828777377	0.30986249728111387	-0.03537187747451168	0.971783209198157	1.0	False
Mycobacterium	Intercept	-0.03679331131061758	0.1505077420592493	-0.24446125366848853	0.8068736068304564	1.0	False
Mycobacterium	condition[T.pre-drought]	-0.17498289667416989	0.20242556313756993	-0.8644308256425608	0.3873512652307278	1.0	False
Neobacillus	Intercept	0.020776217161328603	0.15405196431221457	0.13486499347208444	0.8927186177916504	1.0	False
Neobacillus	condition[T.pre-drought]	-0.2325524251461158	0.20507446428124743	-1.133990162847306	0.2567986743959748	1.0	False
Nitrosocosmicus	Intercept	-0.08787729863346705	0.15200259338359956	-0.578130258683788	0.5631761795328503	1.0	False
Nitrosocosmicus	condition[T.pre-drought]	-0.029526797731472314	0.22518893346405702	-0.1311201100216817	0.895680293005994	1.0	False
Nitrososphaera	Intercept	0.16797434604669093	0.1916143340648571	0.8766272464242442	0.3806891350846615	1.0	False
Nitrososphaera	condition[T.pre-drought]	-0.3797505540314769	0.23460516023929953	-1.6186794597532623	0.10551624855432837	1.0	False
Nitrospira_C	Intercept	5.63343853302959	0.19611749837732134	28.724813337110312	1.8695359141370744e-181	1.7199730410061084e-179	True
Nitrospira_C	condition[T.pre-drought]	0.1637259732709198	0.2774681562737933	0.5900712192333966	0.5551429032559265	1.0	False
Nitrospira_D	Intercept	1.4862891077348275	0.3754454737211045	3.958734920956594	7.534780614569162e-05	0.00467156398103288	True
Nitrospira_D	condition[T.pre-drought]	1.7180906832057963	0.4984910316889918	3.4465829352727693	0.0005677242787712355	0.05336608220449614	False
Nocardioides	Intercept	0.15991916564030717	0.20078223862805739	0.7964806385915054	0.42575272466035374	1.0	False
Nocardioides	condition[T.pre-drought]	-0.1989278275107942	0.2730010574866362	-0.7286705382836547	0.46620321870840487	1.0	False
PNKE01	Intercept	0.29486494187128187	0.2980802653170949	0.9892132293884246	0.32255882707933436	1.0	False
PNKE01	condition[T.pre-drought]	-0.5066411498560695	0.32737650001687424	-1.5475794683795423	0.12172357781209027	1.0	False
Palsa-1315	Intercept	3.009342089205796	0.34750751235757305	8.65979002522768	4.726340520574061e-18	3.5920187956362863e-16	True
Palsa-1315	condition[T.pre-drought]	0.6137799676838974	0.45497565300961895	1.3490391488507212	0.17732439181910797	1.0	False
Penicillium	Intercept	-0.16892040054338153	0.1322754325829125	-1.2770353288204093	0.20158977483066598	1.0	False
Penicillium	condition[T.pre-drought]	0.06848417514197574	0.1990047255586216	0.34413341165510214	0.7307459568498401	1.0	False
Peribacillus	Intercept	0.491548878740959	0.23767686296464333	2.0681393746520524	0.0386269190893308	1.0	False
Peribacillus	condition[T.pre-drought]	-0.39932136268417473	0.31725445570385263	-1.2586785008212116	0.2081464799033934	1.0	False
Pseudolabrys	Intercept	5.2403309564264084	0.33094415344869116	15.834487184070642	1.799199847895747e-56	1.5832958661482573e-54	True
Pseudolabrys	condition[T.pre-drought]	0.4203171142914155	0.4286389196055699	0.9805855116427318	0.3267971819154507	1.0	False
Pseudonocardia	Intercept	-0.030811654881897965	0.15385958981757725	-0.20025826741400798	0.8412785991699405	1.0	False
Pseudonocardia	condition[T.pre-drought]	0.34455129454022776	0.29258891556763483	1.1775951726393452	0.23895803528782622	1.0	False
RHKX01	Intercept	-0.16892040054338153	0.1322754325829125	-1.2770353288204093	0.20158977483066598	1.0	False
RHKX01	condition[T.pre-drought]	0.14731369127713773	0.23756914880212954	0.6200876335160621	0.5352000934095518	1.0	False
Ramlibacter	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
Ramlibacter	condition[T.pre-drought]	0.42721833190642705	0.32256439836779693	1.324443534587784	0.1853557842622925	1.0	False
Reyranella	Intercept	2.294493704740531	0.4445467664225015	5.1614225499951605	2.450802846080104e-07	1.64203790687367e-05	True
Reyranella	condition[T.pre-drought]	0.7874129964275682	0.5908499606291677	1.3326784275132895	0.18263735556082972	1.0	False
Rhabdochlamydia	Intercept	2.6169515285901097	0.25492608632872066	10.26553055545527	1.0076553794950613e-24	8.464305187758515e-23	True
Rhabdochlamydia	condition[T.pre-drought]	-0.23065095018370074	0.3385137552584901	-0.681363597788146	0.49564145057074416	1.0	False
Rhizobium	Intercept	0.280118045615497	0.23207206240595052	1.2070304486952952	0.22742041796855472	1.0	False
Rhizobium	condition[T.pre-drought]	-0.06957935865970771	0.36206220440698417	-0.19217515060339044	0.8476050100476005	1.0	False
Rubrivivax	Intercept	0.2862841880193834	0.2943803161998341	0.9724977257821992	0.3308029957303872	1.0	False
Rubrivivax	condition[T.pre-drought]	0.2932181280263785	0.4833900439598078	0.6065870236474266	0.5441250140016405	1.0	False
SCGC-AG-212-J23	Intercept	7.418244319213802	0.19820208814210388	37.42767994399324	1.3861234694071684e-306	1.3029560612427384e-304	True
