species	pre	drought	log2FC	p	q_BH	cliffs_delta	cliffs_mag
JACZVU01 sp035620755	0.0333388888888888	0.0448333333333333	0.4165538543144704	0.7145397619090399	0.864443208463384	0.03439153439153439	negligible
SCGC-AG-212-J23 sp025929745	0.08775	0.1053809523809523	0.2614208333125102	0.7145397619090399	0.864443208463384	0.03439153439153439	negligible
Agromyces mariniharenae	0.0680222222222222	0.0949238095238095	0.4748280319952674	0.7145397619090399	0.864443208463384	0.03439153439153439	negligible
DATFES01 sp035457725	0.0521222222222222	0.077147619047619	0.5568864196410565	0.7145397619090399	0.864443208463384	0.03439153439153439	negligible
DATJKD01 sp052039045	0.3754722222222222	0.4012238095238095	0.0954550636595942	0.7351787395220479	0.883235569009127	0.06349206349206349	negligible
JAABQT01 sp035251235	0.3463	0.3192	-0.1172091028658345	0.7477318656418825	0.8921214672830736	-0.05555555555555555	negligible
Ensifer sp001429285	0.1000666666666666	0.0609428571428571	-0.706297418153668	0.7705875656672098	0.9130934853453924	-0.037037037037037035	negligible
DATKFM01 sp963810485	1.4207555555555555	1.3626238095238097	-0.0602277467226898	0.7872407644682975	0.9215226674209288	-0.05291005291005291	negligible
DATACQ01 sp036555515	0.4361777777777778	0.4189857142857143	-0.057879813317628	0.7927437092339445	0.9215226674209288	-0.05026455026455026	negligible
Methyloceanibacter sp963744945	0.4415611111111111	0.4557809523809524	0.0456258083432878	0.7961263127573416	0.9215226674209288	-0.05026455026455026	negligible
TA-21 sp035620895	2.233905555555556	2.4323142857142863	0.1227088039912137	0.7990080931395337	0.9215226674209288	0.05026455026455026	negligible
Rhizobium altiplani	0.0335277777777777	0.0248857142857142	-0.4156013565089044	0.809764293053215	0.9216396230145144	-0.026455026455026454	negligible
DASRDR01 sp036257195	0.1675333333333333	0.0807428571428571	-1.043869387190368	0.809764293053215	0.9216396230145144	-0.026455026455026454	negligible
JAKEFM01 sp967798035	0.3218333333333333	0.2918761904761905	-0.1404986347744697	0.8262059254671896	0.9339533071018014	-0.031746031746031744	negligible
TA-21 sp014523595	1.9349888888888889	1.4848190476190477	-0.3818122465523452	0.8313804005414879	0.9339533071018014	-0.03439153439153439	negligible
Nitrospira_C sp036378015	0.0446777777777777	0.0294190476190476	-0.5865174804891532	0.8514767464911486	0.9503579170514109	-0.021164021164021163	negligible
JBIOXB01 sp044869275	0.0408555555555555	0.0271571428571428	-0.5719181775191987	0.872474586960171	0.9644254124452223	-0.018518518518518517	negligible
Gp6-AA40 sp035649635	0.1509388888888888	0.1297095238095238	-0.2171269129515403	0.8752299985774561	0.9644254124452223	-0.021164021164021163	negligible
CAVVWJ01 sp036566145	0.0441555555555555	0.0346	-0.3430262543634556	0.8936089998312141	0.9661314112576108	-0.015873015873015872	negligible
Cupriavidus sp036746135	0.0649	0.0414809523809523	-0.6334623549322418	0.8936089998312141	0.9661314112576108	-0.015873015873015872	negligible
Methyloceanibacter sp963802845	0.9855666666666668	1.0712904761904762	0.1202073263747013	0.8967269467887826	0.9661314112576108	0.026455026455026454	negligible
DATBSL01 sp036559805	0.4398722222222222	0.5288714285714285	0.2652817565134646	0.9085504842918924	0.9661314112576108	0.021164021164021163	negligible
Streptomyces chartreusis	0.0173555555555555	0.0120619047619047	-0.4908514859076158	0.9119848826937768	0.9661314112576108	-0.010582010582010581	negligible
Agromyces sp042796995	0.04615	0.0307857142857142	-0.5688792619915782	0.9119848826937768	0.9661314112576108	-0.010582010582010581	negligible
SG8-41 sp035620515	0.1576888888888888	0.1767285714285714	0.1634745091147957	0.9204994380236612	0.9661314112576108	-0.015873015873015872	negligible
TA-21 sp036277875	5.740327777777778	5.481361904761905	-0.066586855466103	0.9214548142052358	0.9661314112576108	-0.021164021164021163	negligible
Ensifer adhaerens	0.0556055555555555	0.055895238095238	0.0073642563623114	0.9328968717833626	0.970608522780321	0.013227513227513227	negligible
JAJVID01 sp035275345	0.2601333333333333	0.2895380952380952	0.1539407140580665	0.9388966425773468	0.970608522780321	-0.015873015873015872	negligible
Bacillus safensis	0.0050111111111111	0.0122666666666666	1.1421023374379895	0.9706085227803208	0.970608522780321	-0.005291005291005291	negligible
Nitrosocosmicus oleophilus	0.0034611111111111	0.0029761904761904	-0.1660162114923477	0.9706085227803208	0.970608522780321	-0.005291005291005291	negligible
JAJKIV01 sp036509075	0.0432944444444444	0.0508095238095238	0.2260915610355379	0.9706085227803208	0.970608522780321	-0.005291005291005291	negligible
Bacillus altitudinis	0.0095666666666666	0.013847619047619	0.4907112605007734	0.9706085227803208	0.970608522780321	-0.005291005291005291	negligible
Rhizobium sp002211285	0.0119944444444444	0.0128285714285714	0.0897571703068749	0.9706085227803208	0.970608522780321	-0.005291005291005291	negligible
Streptomyces sp042873115	0.0152388888888888	0.0141190476190476	-0.1030856585956101	0.9706085227803208	0.970608522780321	-0.005291005291005291	negligible
