feature	pre	drought	log2FC	p	cliffs_delta	q_BH
AA58990	0.0322	0.01	-1.5929	0.9072	-0.0118	0.9708
PL19866	0.0235	0.01	-1.1567	0.9072	-0.0118	0.9708
GH36312	0.0235	0.01	-1.157	0.9072	-0.0118	0.9708
GH77452	0.0322	0.01	-1.5929	0.9072	-0.0118	0.9708
CE85180	0.0118	0.01	-0.215	0.9072	-0.0118	0.9708
CE99392	0.0118	0.01	-0.215	0.9072	-0.0118	0.9708
CE13470	0.0322	0.01	-1.5929	0.9072	-0.0118	0.9708
PL48894	0.0353	0.01	-1.7222	0.9072	-0.0118	0.9708
GT27077	0.0235	0.01	-1.157	0.9072	-0.0118	0.9708
AA62552	0.0588	0.07	0.2471	0.9086	0.0206	0.9708
GH79962	0.0235	0.034	0.5121	0.91	-0.0147	0.9708
GH90641	0.0235	0.0381	0.6727	0.91	-0.0147	0.9708
CE06486	0.0353	0.0396	0.1622	0.91	-0.0147	0.9708
AA40815	0.0235	0.03	0.3376	0.91	-0.0147	0.9708
CE06337	0.0471	0.04	-0.2291	0.911	0.0176	0.9708
AA11770	0.4557	0.4496	-0.0193	0.914	0.0235	0.9708
CBM93	1.0793	1.144	0.084	0.9143	0.0235	0.9708
GH179	14.3732	14.5349	0.0161	0.9149	0.0235	0.9708
GH166	4.2284	4.2728	0.0151	0.9149	0.0235	0.9708
CBM23	45.9019	45.8523	-0.0016	0.915	-0.0235	0.9708
PL51019	0.1176	0.11	-0.0961	0.9171	-0.0206	0.9708
CE85531	0.1318	0.09	-0.5457	0.9191	0.0176	0.9708
GH46319	0.2322	0.244	0.0713	0.9242	0.0206	0.9708
CBM45	0.4471	0.5685	0.346	0.9263	0.0206	0.9708
GT50611	0.0706	0.1036	0.5471	0.9265	0.0176	0.9708
PL15	7.3306	7.1536	-0.0353	0.9271	-0.0206	0.9708
GH79	20.0208	20.0684	0.0034	0.9271	0.0206	0.9708
GH144	62.1584	61.5698	-0.0137	0.9271	-0.0206	0.9708
AA2142676	0.0471	0.0862	0.8596	0.9289	0.0147	0.9708
GH36727	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
CE84916	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
AA2136587	0.0235	0.0692	1.5175	0.9324	-0.0118	0.9708
CE33429	0.0235	0.03	0.3378	0.9324	-0.0118	0.9708
CE22186	0.0235	0.03	0.3378	0.9324	-0.0118	0.9708
GH82096	0.0235	0.03	0.338	0.9324	-0.0118	0.9708
GT67081	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
AA43712	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
AA2142090	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
PL51034	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
GH97556	0.0235	0.03	0.3378	0.9324	-0.0118	0.9708
GH98578	0.0235	0.03	0.3378	0.9324	-0.0118	0.9708
CE01260	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
PL12495	0.0235	0.03	0.338	0.9324	-0.0118	0.9708
PL98759	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
AA2138805	0.0235	0.03	0.3378	0.9324	-0.0118	0.9708
GH48405	0.0235	0.03	0.338	0.9324	-0.0118	0.9708
GH36850	0.0235	0.02	-0.2239	0.9324	-0.0118	0.9708
GH33631	0.0588	0.06	0.0282	0.9324	-0.0147	0.9708
AA82125	0.0588	0.07	0.2471	0.9325	-0.0147	0.9708
CE01466	0.1529	0.12	-0.3473	0.9331	-0.0176	0.9708
PL11101	0.0471	0.05	0.0857	0.9347	0.0147	0.9708
GT96204	0.2675	0.2502	-0.0959	0.9371	-0.0176	0.9708
GH44090	0.0588	0.06	0.0282	0.9374	-0.0147	0.9708
GT78309	0.0706	0.08	0.1782	0.9376	-0.0147	0.9708
AA2136934	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH46317	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2138596	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2137955	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH46912	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH33952	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH49930	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
